age_and_district,both_sexes,district,gender,population
70-74,5441,Nyamagabe,female,3255
70-74,5441,Nyamagabe,male,-2186
75-79,2615,Nyamagabe,female,1684
75-79,2615,Nyamagabe,male,-931
80-84,2066,Nyamagabe,female,1323
80-84,2066,Nyamagabe,male,-743
85+,1937,Nyamagabe,female,1262
85+,1937,Nyamagabe,male,-675
0-4,43600,Ruhango,female,21534
0-4,43600,Ruhango,male,-22066
5-9,44711,Ruhango,female,22189
5-9,44711,Ruhango,male,-22522
10-14,44427,Ruhango,female,21912
10-14,44427,Ruhango,male,-22515
15-19,41328,Ruhango,female,19973
15-19,41328,Ruhango,male,-21355
20-24,26556,Ruhango,female,13654
20-24,26556,Ruhango,male,-12902
25-29,21819,Ruhango,female,11655
25-29,21819,Ruhango,male,-10164
30-34,22452,Ruhango,female,11920
30-34,22452,Ruhango,male,-10532
35-39,23357,Ruhango,female,12127
35-39,23357,Ruhango,male,-11230
40-44,21270,Ruhango,female,11285
40-44,21270,Ruhango,male,-9985
45-49,14613,Ruhango,female,8435
45-49,14613,Ruhango,male,-6178
50-54,13185,Ruhango,female,7493
50-54,13185,Ruhango,male,-5692
55-59,11567,Ruhango,female,6518
55-59,11567,Ruhango,male,-5049
60-64,11346,Ruhango,female,6448
60-64,11346,Ruhango,male,-4898
65-69,7232,Ruhango,female,4303
65-69,7232,Ruhango,male,-2929
70-74,4876,Ruhango,female,3061
70-74,4876,Ruhango,male,-1815
75-79,2793,Ruhango,female,1847
75-79,2793,Ruhango,male,-946
80-84,2190,Ruhango,female,1482
80-84,2190,Ruhango,male,-708
85+,1799,Ruhango,female,1189
85+,1799,Ruhango,male,-610
0-4,41981,Muhanga,female,21076
0-4,41981,Muhanga,male,-20905
5-9,41738,Muhanga,female,20770
5-9,41738,Muhanga,male,-20968
10-14,39459,Muhanga,female,19559
10-14,39459,Muhanga,male,-19900
15-19,39148,Muhanga,female,19569
15-19,39148,Muhanga,male,-19579
20-24,29771,Muhanga,female,15248
20-24,29771,Muhanga,male,-14523
25-29,25082,Muhanga,female,12611
25-29,25082,Muhanga,male,-12471
30-34,24082,Muhanga,female,12242
30-34,24082,Muhanga,male,-11840
35-39,25165,Muhanga,female,12895
35-39,25165,Muhanga,male,-12270
40-44,22208,Muhanga,female,11684
40-44,22208,Muhanga,male,-10524
45-49,15420,Muhanga,female,8522
45-49,15420,Muhanga,male,-6898
50-54,12998,Muhanga,female,7139
50-54,12998,Muhanga,male,-5859
55-59,11078,Muhanga,female,6091
55-59,11078,Muhanga,male,-4987
60-64,10834,Muhanga,female,5904
60-64,10834,Muhanga,male,-4930
65-69,7808,Muhanga,female,4253
65-69,7808,Muhanga,male,-3555
70-74,5052,Muhanga,female,2948
70-74,5052,Muhanga,male,-2104
75-79,2527,Muhanga,female,1588
75-79,2527,Muhanga,male,-939
80-84,2098,Muhanga,female,1412
80-84,2098,Muhanga,male,-686
85+,1984,Muhanga,female,1307
85+,1984,Muhanga,male,-677
0-4,56067,Kamonyi,female,27972
0-4,56067,Kamonyi,male,-28095
5-9,56200,Kamonyi,female,28082
5-9,56200,Kamonyi,male,-28118
10-14,52605,Kamonyi,female,26088
10-14,52605,Kamonyi,male,-26517
15-19,50041,Kamonyi,female,24943
15-19,50041,Kamonyi,male,-25098
20-24,35461,Kamonyi,female,18333
20-24,35461,Kamonyi,male,-17128
25-29,30563,Kamonyi,female,16189
25-29,30563,Kamonyi,male,-14374
30-34,29738,Kamonyi,female,15471
30-34,29738,Kamonyi,male,-14267
35-39,30987,Kamonyi,female,15600
35-39,30987,Kamonyi,male,-15387
40-44,28240,Kamonyi,female,14350
40-44,28240,Kamonyi,male,-13890
45-49,18679,Kamonyi,female,10234
45-49,18679,Kamonyi,male,-8445
50-54,16080,Kamonyi,female,8953
50-54,16080,Kamonyi,male,-7127
55-59,13266,Kamonyi,female,7495
55-59,13266,Kamonyi,male,-5771
60-64,12255,Kamonyi,female,6848
60-64,12255,Kamonyi,male,-5407
65-69,8112,Kamonyi,female,4666
65-69,8112,Kamonyi,male,-3446
70-74,5225,Kamonyi,female,3172
70-74,5225,Kamonyi,male,-2053
75-79,2919,Kamonyi,female,1932
75-79,2919,Kamonyi,male,-987
80-84,2320,Kamonyi,female,1582
80-84,2320,Kamonyi,male,-738
85+,2091,Kamonyi,female,1369
85+,2091,Kamonyi,male,-722
0-4,45095,Karongi,female,22472
0-4,45095,Karongi,male,-22623
5-9,49860,Karongi,female,24853
5-9,49860,Karongi,male,-25007
10-14,46967,Karongi,female,23216
10-14,46967,Karongi,male,-23751
15-19,43889,Karongi,female,21494
15-19,43889,Karongi,male,-22395
20-24,29624,Karongi,female,15245
20-24,29624,Karongi,male,-14379
25-29,25352,Karongi,female,13340
25-29,25352,Karongi,male,-12012
30-34,23814,Karongi,female,12651
30-34,23814,Karongi,male,-11163
35-39,24097,Karongi,female,12985
35-39,24097,Karongi,male,-11112
40-44,20535,Karongi,female,11272
40-44,20535,Karongi,male,-9263
45-49,14513,Karongi,female,8409
45-49,14513,Karongi,male,-6104
50-54,11431,Karongi,female,6576
50-54,11431,Karongi,male,-4855
55-59,9031,Karongi,female,5134
55-59,9031,Karongi,male,-3897
60-64,11004,Karongi,female,6444
60-64,11004,Karongi,male,-4560
65-69,7114,Karongi,female,4071
65-69,7114,Karongi,male,-3043
70-74,4783,Karongi,female,2876
70-74,4783,Karongi,male,-1907
75-79,2718,Karongi,female,1756
75-79,2718,Karongi,male,-962
80-84,2017,Karongi,female,1351
80-84,2017,Karongi,male,-666
85+,2025,Karongi,female,1307
85+,2025,Karongi,male,-718
0-4,46602,Rutsiro,female,23412
0-4,46602,Rutsiro,male,-23190
5-9,49376,Rutsiro,female,24679
5-9,49376,Rutsiro,male,-24697
10-14,46117,Rutsiro,female,22910
10-14,46117,Rutsiro,male,-23207
15-19,44806,Rutsiro,female,22412
15-19,44806,Rutsiro,male,-22394
20-24,32546,Rutsiro,female,16647
20-24,32546,Rutsiro,male,-15899
25-29,26016,Rutsiro,female,13267
25-29,26016,Rutsiro,male,-12749
30-34,23461,Rutsiro,female,12321
30-34,23461,Rutsiro,male,-11140
35-39,23198,Rutsiro,female,12690
35-39,23198,Rutsiro,male,-10508
40-44,19662,Rutsiro,female,10806
40-44,19662,Rutsiro,male,-8856
45-49,12921,Rutsiro,female,7575
45-49,12921,Rutsiro,male,-5346
50-54,10520,Rutsiro,female,5991
50-54,10520,Rutsiro,male,-4529
55-59,8472,Rutsiro,female,4825
55-59,8472,Rutsiro,male,-3647
60-64,9277,Rutsiro,female,5324
60-64,9277,Rutsiro,male,-3953
65-69,6519,Rutsiro,female,3777
65-69,6519,Rutsiro,male,-2742
70-74,4320,Rutsiro,female,2557
70-74,4320,Rutsiro,male,-1763
75-79,2248,Rutsiro,female,1425
75-79,2248,Rutsiro,male,-823
80-84,1701,Rutsiro,female,1126
80-84,1701,Rutsiro,male,-575
85+,1418,Rutsiro,female,938
85+,1418,Rutsiro,male,-480
0-4,76507,Rubavu,female,38355
0-4,76507,Rubavu,male,-38152
5-9,76715,Rubavu,female,38479
5-9,76715,Rubavu,male,-38236
10-14,66677,Rubavu,female,33632
10-14,66677,Rubavu,male,-33045
15-19,63879,Rubavu,female,32559
15-19,63879,Rubavu,male,-31320
20-24,49087,Rubavu,female,25161
20-24,49087,Rubavu,male,-23926
25-29,44198,Rubavu,female,22041
25-29,44198,Rubavu,male,-22157
30-34,42542,Rubavu,female,21413
30-34,42542,Rubavu,male,-21129
35-39,35246,Rubavu,female,17528
35-39,35246,Rubavu,male,-17718
40-44,26616,Rubavu,female,14012
40-44,26616,Rubavu,male,-12604
45-49,16192,Rubavu,female,8797
45-49,16192,Rubavu,male,-7395
50-54,12555,Rubavu,female,6642
50-54,12555,Rubavu,male,-5913
55-59,10149,Rubavu,female,5385
55-59,10149,Rubavu,male,-4764
60-64,10094,Rubavu,female,5520
60-64,10094,Rubavu,male,-4574
65-69,6606,Rubavu,female,3724
65-69,6606,Rubavu,male,-2882
70-74,4372,Rubavu,female,2623
70-74,4372,Rubavu,male,-1749
75-79,2242,Rubavu,female,1475
75-79,2242,Rubavu,male,-767
80-84,1591,Rubavu,female,1058
80-84,1591,Rubavu,male,-533
85+,1415,Rubavu,female,980
85+,1415,Rubavu,male,-435
0-4,40811,Nyabihu,female,20342
0-4,40811,Nyabihu,male,-20469
5-9,41682,Nyabihu,female,20885
5-9,41682,Nyabihu,male,-20797
10-14,40146,Nyabihu,female,20181
10-14,40146,Nyabihu,male,-19965
15-19,40811,Nyabihu,female,20604
15-19,40811,Nyabihu,male,-20207
20-24,29200,Nyabihu,female,15287
20-24,29200,Nyabihu,male,-13913
25-29,23054,Nyabihu,female,12231
25-29,23054,Nyabihu,male,-10823
30-34,22216,Nyabihu,female,11929
30-34,22216,Nyabihu,male,-10287
35-39,19915,Nyabihu,female,10643
35-39,19915,Nyabihu,male,-9272
40-44,16471,Nyabihu,female,9470
40-44,16471,Nyabihu,male,-7001
45-49,10048,Nyabihu,female,6101
45-49,10048,Nyabihu,male,-3947
50-54,7921,Nyabihu,female,4642
50-54,7921,Nyabihu,male,-3279
55-59,6803,Nyabihu,female,4057
55-59,6803,Nyabihu,male,-2746
60-64,7000,Nyabihu,female,4311
60-64,7000,Nyabihu,male,-2689
65-69,5080,Nyabihu,female,3162
65-69,5080,Nyabihu,male,-1918
70-74,3372,Nyabihu,female,2107
70-74,3372,Nyabihu,male,-1265
75-79,1838,Nyabihu,female,1217
75-79,1838,Nyabihu,male,-621
80-84,1363,Nyabihu,female,899
80-84,1363,Nyabihu,male,-464
85+,1316,Nyabihu,female,907
85+,1316,Nyabihu,male,-409
0-4,45966,Ngororero,female,23278
0-4,45966,Ngororero,male,-22688
5-9,51005,Ngororero,female,25607
5-9,51005,Ngororero,male,-25398
10-14,47490,Ngororero,female,23842
10-14,47490,Ngororero,male,-23648
15-19,43506,Ngororero,female,22054
15-19,43506,Ngororero,male,-21452
20-24,29384,Ngororero,female,15815
20-24,29384,Ngororero,male,-13569
25-29,24027,Ngororero,female,13017
25-29,24027,Ngororero,male,-11010
30-34,23465,Ngororero,female,12732
30-34,23465,Ngororero,male,-10733
35-39,23896,Ngororero,female,13200
35-39,23896,Ngororero,male,-10696
40-44,20025,Ngororero,female,11639
40-44,20025,Ngororero,male,-8386
45-49,12467,Ngororero,female,7436
45-49,12467,Ngororero,male,-5031
50-54,10678,Ngororero,female,6430
50-54,10678,Ngororero,male,-4248
55-59,9477,Ngororero,female,5554
55-59,9477,Ngororero,male,-3923
60-64,9907,Ngororero,female,5827
60-64,9907,Ngororero,male,-4080
65-69,7026,Ngororero,female,4149
65-69,7026,Ngororero,male,-2877
70-74,4235,Ngororero,female,2613
70-74,4235,Ngororero,male,-1622
75-79,2203,Ngororero,female,1497
75-79,2203,Ngororero,male,-706
80-84,1553,Ngororero,female,1089
80-84,1553,Ngororero,male,-464
85+,1645,Ngororero,female,1111
85+,1645,Ngororero,male,-534
0-4,68504,Rusizi,female,34053
0-4,68504,Rusizi,male,-34451
5-9,68220,Rusizi,female,33848
5-9,68220,Rusizi,male,-34372
10-14,60738,Rusizi,female,30339
10-14,60738,Rusizi,male,-30399
15-19,51589,Rusizi,female,25504
15-19,51589,Rusizi,male,-26085
20-24,42075,Rusizi,female,21233
20-24,42075,Rusizi,male,-20842
25-29,32933,Rusizi,female,16702
25-29,32933,Rusizi,male,-16231
30-34,30238,Rusizi,female,15847
30-34,30238,Rusizi,male,-14391
35-39,27834,Rusizi,female,14790
35-39,27834,Rusizi,male,-13044
40-44,25619,Rusizi,female,13777
40-44,25619,Rusizi,male,-11842
45-49,16332,Rusizi,female,8933
45-49,16332,Rusizi,male,-7399
50-54,13566,Rusizi,female,7377
50-54,13566,Rusizi,male,-6189
55-59,11957,Rusizi,female,6445
55-59,11957,Rusizi,male,-5512
60-64,13170,Rusizi,female,7138
60-64,13170,Rusizi,male,-6032
65-69,9564,Rusizi,female,5193
65-69,9564,Rusizi,male,-4371
70-74,6162,Rusizi,female,3395
70-74,6162,Rusizi,male,-2767
75-79,2915,Rusizi,female,1785
75-79,2915,Rusizi,male,-1130
80-84,2081,Rusizi,female,1340
80-84,2081,Rusizi,male,-741
85+,2032,Rusizi,female,1404
85+,2032,Rusizi,male,-628
0-4,57339,Nyamasheke,female,28650
0-4,57339,Nyamasheke,male,-28689
5-9,61621,Nyamasheke,female,30876
5-9,61621,Nyamasheke,male,-30745
10-14,56191,Nyamasheke,female,28104
10-14,56191,Nyamasheke,male,-28087
15-19,48501,Nyamasheke,female,24322
15-19,48501,Nyamasheke,male,-24179
20-24,34686,Nyamasheke,female,18211
20-24,34686,Nyamasheke,male,-16475
25-29,26435,Nyamasheke,female,14140
25-29,26435,Nyamasheke,male,-12295
30-34,25311,Nyamasheke,female,14075
30-34,25311,Nyamasheke,male,-11236
35-39,25356,Nyamasheke,female,14124
35-39,25356,Nyamasheke,male,-11232
40-44,23144,Nyamasheke,female,13152
40-44,23144,Nyamasheke,male,-9992
45-49,15913,Nyamasheke,female,9217
45-49,15913,Nyamasheke,male,-6696
50-54,13090,Nyamasheke,female,7399
50-54,13090,Nyamasheke,male,-5691
55-59,11354,Nyamasheke,female,6529
55-59,11354,Nyamasheke,male,-4825
60-64,12333,Nyamasheke,female,7070
60-64,12333,Nyamasheke,male,-5263
65-69,9023,Nyamasheke,female,5054
65-69,9023,Nyamasheke,male,-3969
70-74,6060,Nyamasheke,female,3389
70-74,6060,Nyamasheke,male,-2671
75-79,3135,Nyamasheke,female,1912
75-79,3135,Nyamasheke,male,-1223
80-84,2485,Nyamasheke,female,1616
80-84,2485,Nyamasheke,male,-869
85+,2244,Nyamasheke,female,1523
85+,2244,Nyamasheke,male,-721
0-4,44841,Rulindo,female,22334
0-4,44841,Rulindo,male,-22507
5-9,46747,Rulindo,female,23495
5-9,46747,Rulindo,male,-23252
10-14,40029,Rulindo,female,20079
10-14,40029,Rulindo,male,-19950
15-19,39576,Rulindo,female,19760
15-19,39576,Rulindo,male,-19816
20-24,29950,Rulindo,female,15377
20-24,29950,Rulindo,male,-14573
25-29,26072,Rulindo,female,13797
25-29,26072,Rulindo,male,-12275
30-34,24895,Rulindo,female,13252
30-34,24895,Rulindo,male,-11643
35-39,24792,Rulindo,female,12995
35-39,24792,Rulindo,male,-11797
40-44,21010,Rulindo,female,11282
40-44,21010,Rulindo,male,-9728
45-49,14131,Rulindo,female,8141
45-49,14131,Rulindo,male,-5990
50-54,11485,Rulindo,female,6569
50-54,11485,Rulindo,male,-4916
55-59,9406,Rulindo,female,5276
55-59,9406,Rulindo,male,-4130
60-64,9309,Rulindo,female,5206
60-64,9309,Rulindo,male,-4103
65-69,6866,Rulindo,female,3819
65-69,6866,Rulindo,male,-3047
70-74,4722,Rulindo,female,2789
70-74,4722,Rulindo,male,-1933
75-79,2511,Rulindo,female,1579
75-79,2511,Rulindo,male,-932
80-84,1868,Rulindo,female,1199
80-84,1868,Rulindo,male,-669
85+,1934,Rulindo,female,1346
85+,1934,Rulindo,male,-588
0-4,42160,Gakenke,female,21032
0-4,42160,Gakenke,male,-21128
5-9,45012,Gakenke,female,22494
5-9,45012,Gakenke,male,-22518
